,EC Filename,Wrapper Name,Kmer Size,Read - TP,Read - TN,Read - FN,Read - FN WRONG,Read - FP,Read - FP INDEL,Total Trimmed Reads,Total Reads,Base - TP,Base - TN,Base - FN,Base - FN WRONG,Base - FP,Base - FP INDEL,Base - FP TRIM,Base - TP TRIM,Total Bases,Tool,Coverage,Length,Base Sensitivity,Base Precision,Base Gain,Base Accuracy,Dataset,Trim Percent,Trim Effeciency,Sample
152,reckoner_SRR1543967_raw_22.corrected.fastq.gz,run.reckoner.sh,22,1304,41751,3505,5,56,79,30,46700,2831,11101286,5567,63,3813,1920,174,3,11115657,Reckoner,NA,100,0.337104072,0.330569827,-0.345558466,0.998962094,RSR,1.59E-05,0.017241379,SRR1543967
157,reckoner_SRR1543968_raw_22.corrected.fastq.gz,run.reckoner.sh,22,1260,41322,3974,6,38,100,31,46700,2949,11098910,6784,80,4710,2148,202,0,11115783,Reckoner,NA,100,0.302989828,0.300703579,-0.401623343,0.998747367,RSR,1.82E-05,0,SRR1543968
162,reckoner_SRR1543969_raw_22.corrected.fastq.gz,run.reckoner.sh,22,1378,40226,4901,9,53,133,52,46700,3830,11094499,9326,146,5288,2656,382,18,11116145,Reckoner,NA,100,0.291121922,0.325293019,-0.31270903,0.998398903,RSR,3.60E-05,0.047120419,SRR1543969
167,reckoner_SRR1543970_raw_22.corrected.fastq.gz,run.reckoner.sh,22,1286,52898,5114,11,62,101,26,59472,2945,14137100,8610,111,4304,2402,165,4,14155641,Reckoner,NA,100,0.254868023,0.305149725,-0.325486802,0.998898531,RSR,1.19E-05,0.024242424,SRR1543970
172,reckoner_SRR1543971_raw_22.corrected.fastq.gz,run.reckoner.sh,22,2025,41792,2807,6,24,46,16,46700,3711,11103915,4426,79,1868,1105,119,3,11115226,Reckoner,NA,100,0.456064889,0.555206463,0.090696817,0.999316523,RSR,1.10E-05,0.025210084,SRR1543971
138,reckoner_SRR1543964_raw_24.corrected.fastq.gz,run.reckoner.sh,24,1215,39889,5410,13,50,123,27,46700,3276,11094212,10127,111,5285,2995,217,1,11116224,Reckoner,NA,100,0.24442289,0.283489097,-0.37334925,0.998314625,RSR,1.96E-05,0.004608295,SRR1543964
143,reckoner_SRR1543965_raw_24.corrected.fastq.gz,run.reckoner.sh,24,1698,39992,4863,4,44,99,30,46700,3575,11097536,8027,95,4168,2208,209,4,11115822,Reckoner,NA,100,0.308136528,0.359260376,-0.241423892,0.99867693,RSR,1.92E-05,0.019138756,SRR1543965
148,reckoner_SRR1543966_raw_24.corrected.fastq.gz,run.reckoner.sh,24,1291,41673,3630,6,34,66,18,46700,2682,11101817,5794,61,3365,1637,135,4,11115495,Reckoner,NA,100,0.316422841,0.34903696,-0.273714016,0.99901111,RSR,1.25E-05,0.02962963,SRR1543966
153,reckoner_SRR1543967_raw_24.corrected.fastq.gz,run.reckoner.sh,24,1329,41751,3494,3,50,73,27,46700,2844,11101792,5574,46,3383,1737,195,2,11115573,Reckoner,NA,100,0.33784747,0.357106981,-0.27037301,0.999016245,RSR,1.77E-05,0.01025641,SRR1543967
158,reckoner_SRR1543968_raw_24.corrected.fastq.gz,run.reckoner.sh,24,1304,41322,3943,5,35,91,28,46700,2936,11099593,6816,60,4044,2149,168,1,11115767,Reckoner,NA,100,0.301066448,0.321612444,-0.333982773,0.998809169,RSR,1.52E-05,0.005952381,SRR1543968
163,reckoner_SRR1543969_raw_24.corrected.fastq.gz,run.reckoner.sh,24,1423,40226,4868,6,47,130,44,46700,3826,11094831,9339,146,5067,2555,253,9,11116026,Reckoner,NA,100,0.290619066,0.334206848,-0.288340296,0.99843829,RSR,2.36E-05,0.035573123,SRR1543969
168,reckoner_SRR1543970_raw_24.corrected.fastq.gz,run.reckoner.sh,24,1324,52898,5080,10,66,94,22,59472,2953,14137212,8615,100,4300,2235,106,2,14155523,Reckoner,NA,100,0.255273167,0.311235245,-0.309647303,0.998915194,RSR,7.63E-06,0.018867925,SRR1543970
173,reckoner_SRR1543971_raw_24.corrected.fastq.gz,run.reckoner.sh,24,2027,41792,2806,6,23,46,13,46700,3677,11103746,4464,76,2076,1062,84,2,11115187,Reckoner,NA,100,0.451664415,0.539545121,0.066208083,0.999301676,RSR,7.74E-06,0.023809524,SRR1543971
139,reckoner_SRR1543964_raw_26.corrected.fastq.gz,run.reckoner.sh,26,1237,39889,5393,10,53,118,33,46700,3300,11094104,10115,96,5406,2912,271,4,11116208,Reckoner,NA,100,0.245993291,0.284042004,-0.374058889,0.998308775,RSR,2.47E-05,0.014760148,SRR1543964
144,reckoner_SRR1543965_raw_26.corrected.fastq.gz,run.reckoner.sh,26,1735,39992,4840,5,46,82,37,46700,3642,11098360,7970,85,3514,1775,304,4,11115654,Reckoner,NA,100,0.313641061,0.40779308,-0.141836032,0.998772182,RSR,2.77E-05,0.013157895,SRR1543965
149,reckoner_SRR1543966_raw_26.corrected.fastq.gz,run.reckoner.sh,26,1338,41673,3603,6,27,53,16,46700,2730,11102996,5764,42,2431,1203,75,5,11115246,Reckoner,NA,100,0.321403344,0.428975487,-0.106428067,0.999143968,RSR,7.20E-06,0.066666667,SRR1543966
154,reckoner_SRR1543967_raw_26.corrected.fastq.gz,run.reckoner.sh,26,1367,41751,3459,2,47,74,22,46700,2893,11101820,5512,57,3379,1743,148,2,11115554,Reckoner,NA,100,0.344199881,0.360948222,-0.265199286,0.99902488,RSR,1.35E-05,0.013513514,SRR1543967
159,reckoner_SRR1543968_raw_26.corrected.fastq.gz,run.reckoner.sh,26,1357,41322,3903,7,29,82,29,46700,2999,11100499,6744,69,3265,1868,201,1,11115646,Reckoner,NA,100,0.307810736,0.368789966,-0.219029046,0.998907216,RSR,1.82E-05,0.004975124,SRR1543968
164,reckoner_SRR1543969_raw_26.corrected.fastq.gz,run.reckoner.sh,26,1464,40226,4841,3,38,128,40,46700,3853,11094845,9325,128,5094,2418,313,14,11115990,Reckoner,NA,100,0.292381241,0.339023317,-0.277659736,0.998445661,RSR,2.94E-05,0.044728435,SRR1543969
169,reckoner_SRR1543970_raw_26.corrected.fastq.gz,run.reckoner.sh,26,1390,52898,5011,12,61,100,26,59472,3043,14136542,8521,102,4904,2363,116,4,14155595,Reckoner,NA,100,0.263144241,0.295150339,-0.365271532,0.998869281,RSR,8.48E-06,0.034482759,SRR1543970
174,reckoner_SRR1543971_raw_26.corrected.fastq.gz,run.reckoner.sh,26,2031,41792,2797,6,29,45,16,46700,3684,11103747,4445,91,1978,1251,83,3,11115282,Reckoner,NA,100,0.453192275,0.532909012,0.055972444,0.999293945,RSR,7.74E-06,0.036144578,SRR1543971
140,reckoner_SRR1543964_raw_28.corrected.fastq.gz,run.reckoner.sh,28,1267,39889,5370,12,56,106,29,46700,3283,11095491,10122,109,4290,2420,230,1,11115946,Reckoner,NA,100,0.244908616,0.328529971,-0.255650877,0.998455282,RSR,2.08E-05,0.004347826,SRR1543964
145,reckoner_SRR1543965_raw_28.corrected.fastq.gz,run.reckoner.sh,28,1759,39992,4814,5,34,96,32,46700,3599,11097631,8025,72,4024,2272,236,5,11115864,Reckoner,NA,100,0.309618032,0.36371905,-0.232019959,0.998683952,RSR,2.17E-05,0.021186441,SRR1543965
150,reckoner_SRR1543966_raw_28.corrected.fastq.gz,run.reckoner.sh,28,1375,41673,3578,6,21,47,17,46700,2738,11103526,5754,48,1976,1038,88,1,11115169,Reckoner,NA,100,0.322421102,0.476008345,-0.032501178,0.999198932,RSR,8.01E-06,0.011363636,SRR1543966
155,reckoner_SRR1543967_raw_28.corrected.fastq.gz,run.reckoner.sh,28,1393,41751,3435,2,49,70,15,46700,2864,11102058,5540,58,3187,1694,105,2,11115508,Reckoner,NA,100,0.3407901,0.369786959,-0.24000476,0.999047817,RSR,9.63E-06,0.019047619,SRR1543967
160,reckoner_SRR1543968_raw_28.corrected.fastq.gz,run.reckoner.sh,28,1400,41322,3859,8,28,83,31,46700,3034,11100591,6706,72,3244,1728,192,1,11115568,Reckoner,NA,100,0.311498973,0.378965776,-0.198973306,0.998925651,RSR,1.74E-05,0.005208333,SRR1543968
165,reckoner_SRR1543969_raw_28.corrected.fastq.gz,run.reckoner.sh,28,1491,40226,4833,8,31,111,38,46700,3835,11096290,9359,109,3815,2181,220,17,11115826,Reckoner,NA,100,0.290662422,0.390092564,-0.16378657,0.998589037,RSR,2.13E-05,0.077272727,SRR1543969
170,reckoner_SRR1543970_raw_28.corrected.fastq.gz,run.reckoner.sh,28,1402,52898,5019,10,61,82,24,59472,2991,14138054,8589,87,3678,1757,143,3,14155302,Reckoner,NA,100,0.258290155,0.354972704,-0.211053541,0.998993027,RSR,1.03E-05,0.020979021,SRR1543970
175,reckoner_SRR1543971_raw_28.corrected.fastq.gz,run.reckoner.sh,28,2031,41792,2799,10,24,44,9,46700,3634,11104055,4506,83,1853,911,54,0,11115096,Reckoner,NA,100,0.446437346,0.567989997,0.106879607,0.999333609,RSR,4.86E-06,0,SRR1543971
176,sga_SRR1543964_raw_20.corrected.fastq.gz,run.sga.sh,20,323,39889,6407,4,76,1,1,46700,1589,11100777,11905,21,307,2,2,0,11114603,Sga,NA,100,0.11775604,0.83719705,0.094856973,0.998899016,RSR,1.80E-07,0,SRR1543964
181,sga_SRR1543965_raw_20.corrected.fastq.gz,run.sga.sh,20,708,39992,5963,1,35,1,0,46700,1955,11102777,9737,9,118,8,0,0,11114604,Sga,NA,100,0.167208348,0.939452186,0.156431748,0.999111799,RSR,0,,SRR1543965
186,sga_SRR1543966_raw_20.corrected.fastq.gz,run.sga.sh,20,406,41674,4592,1,25,2,2,46700,1220,11105983,7315,6,72,4,4,0,11114604,Sga,NA,100,0.142940832,0.941358025,0.134036321,0.999334119,RSR,3.60E-07,0,SRR1543966
191,sga_SRR1543967_raw_20.corrected.fastq.gz,run.sga.sh,20,574,41752,4333,1,40,0,0,46700,1512,11106009,6950,2,127,0,0,0,11114600,Sga,NA,100,0.178681163,0.922513728,0.163672891,0.99936309,RSR,0,,SRR1543967
196,sga_SRR1543968_raw_20.corrected.fastq.gz,run.sga.sh,20,408,41322,4922,1,46,1,0,46700,1424,11104609,8381,8,175,6,0,0,11114603,Sga,NA,100,0.145232024,0.887227414,0.126772055,0.999228942,RSR,0,,SRR1543968
201,sga_SRR1543969_raw_20.corrected.fastq.gz,run.sga.sh,20,542,40227,5869,3,58,1,0,46700,2174,11101066,11131,15,212,4,0,0,11114602,Sga,NA,100,0.163397219,0.909623431,0.147162721,0.998977741,RSR,0,,SRR1543969
206,sga_SRR1543970_raw_20.corrected.fastq.gz,run.sga.sh,20,330,52898,6179,4,59,2,0,59472,1321,14142488,10335,14,181,5,0,0,14154344,Sga,NA,100,0.113332189,0.876575979,0.097374743,0.999255706,RSR,0,,SRR1543970
211,sga_SRR1543971_raw_20.corrected.fastq.gz,run.sga.sh,20,1103,41792,3766,1,36,2,0,46700,2244,11106256,5966,9,124,4,0,0,11114603,Sga,NA,100,0.273325213,0.946037099,0.25773447,0.999450903,RSR,0,,SRR1543971
177,sga_SRR1543964_raw_22.corrected.fastq.gz,run.sga.sh,22,340,39889,6395,3,72,1,1,46700,1714,11100770,11785,16,314,2,2,0,11114603,Sga,NA,100,0.126972368,0.844334975,0.103563227,0.998909633,RSR,1.80E-07,0,SRR1543964
182,sga_SRR1543965_raw_22.corrected.fastq.gz,run.sga.sh,22,732,39992,5940,1,34,1,0,46700,1983,11102768,9709,9,127,8,0,0,11114604,Sga,NA,100,0.169603147,0.936260623,0.158056791,0.999113509,RSR,0,,SRR1543965
187,sga_SRR1543966_raw_22.corrected.fastq.gz,run.sga.sh,22,422,41674,4571,1,30,2,2,46700,1279,11105959,7255,7,96,4,4,0,11114604,Sga,NA,100,0.149871104,0.927483684,0.138153269,0.999337268,RSR,3.60E-07,0,SRR1543966
192,sga_SRR1543967_raw_22.corrected.fastq.gz,run.sga.sh,22,597,41752,4310,2,39,0,0,46700,1576,11106006,6884,4,130,0,0,0,11114600,Sga,NA,100,0.186288416,0.923798359,0.170921986,0.999368578,RSR,0,,SRR1543967
197,sga_SRR1543968_raw_22.corrected.fastq.gz,run.sga.sh,22,427,41322,4898,1,51,1,0,46700,1523,11104581,8281,9,203,6,0,0,11114603,Sga,NA,100,0.155344757,0.879330254,0.134026928,0.99923533,RSR,0,,SRR1543968
202,sga_SRR1543969_raw_22.corrected.fastq.gz,run.sga.sh,22,569,40227,5837,2,64,1,0,46700,2257,11101051,11050,13,227,4,0,0,11114602,Sga,NA,100,0.16960998,0.907154341,0.152250695,0.998983859,RSR,0,,SRR1543969
207,sga_SRR1543970_raw_22.corrected.fastq.gz,run.sga.sh,22,356,52898,6148,4,63,3,0,59472,1414,14142469,10241,15,197,11,0,0,14154347,Sga,NA,100,0.121321321,0.871763255,0.103474903,0.999260722,RSR,0,,SRR1543970
212,sga_SRR1543971_raw_22.corrected.fastq.gz,run.sga.sh,22,1153,41792,3718,0,35,2,0,46700,2387,11106257,5826,6,123,4,0,0,11114603,Sga,NA,100,0.290636795,0.949482896,0.275173505,0.999463858,RSR,0,,SRR1543971
178,sga_SRR1543964_raw_24.corrected.fastq.gz,run.sga.sh,24,361,39889,6378,3,68,1,1,46700,1797,11100788,11703,15,296,2,2,0,11114603,Sga,NA,100,0.133111111,0.857756563,0.111037037,0.99891872,RSR,1.80E-07,0,SRR1543964
183,sga_SRR1543965_raw_24.corrected.fastq.gz,run.sga.sh,24,756,39992,5910,1,41,0,0,46700,2039,11102758,9654,8,141,0,0,0,11114600,Sga,NA,100,0.174377833,0.935321101,0.162319336,0.999118007,RSR,0,,SRR1543965
188,sga_SRR1543966_raw_24.corrected.fastq.gz,run.sga.sh,24,437,41674,4548,0,38,3,3,46700,1336,11105930,7198,7,124,5,5,0,11114605,Sga,NA,100,0.15655027,0.911945392,0.141434263,0.999339698,RSR,4.50E-07,0,SRR1543966
193,sga_SRR1543967_raw_24.corrected.fastq.gz,run.sga.sh,24,617,41752,4288,2,41,0,0,46700,1644,11106011,6816,4,125,0,0,0,11114600,Sga,NA,100,0.194326241,0.929338609,0.179550827,0.999375146,RSR,0,,SRR1543967
198,sga_SRR1543968_raw_24.corrected.fastq.gz,run.sga.sh,24,449,41322,4875,1,52,1,0,46700,1594,11104582,8209,10,202,6,0,0,11114603,Sga,NA,100,0.162603285,0.884572697,0.14138529,0.999241808,RSR,0,,SRR1543968
203,sga_SRR1543969_raw_24.corrected.fastq.gz,run.sga.sh,24,608,40227,5793,2,69,1,0,46700,2381,11101023,10930,9,255,4,0,0,11114602,Sga,NA,100,0.178874615,0.901893939,0.159417024,0.998992497,RSR,0,,SRR1543969
208,sga_SRR1543970_raw_24.corrected.fastq.gz,run.sga.sh,24,380,52898,6122,5,64,3,0,59472,1476,14142446,10178,16,220,11,0,0,14154347,Sga,NA,100,0.126651793,0.864674868,0.106830273,0.999263477,RSR,0,,SRR1543970
213,sga_SRR1543971_raw_24.corrected.fastq.gz,run.sga.sh,24,1188,41792,3683,0,35,2,0,46700,2450,11106244,5763,6,136,4,0,0,11114603,Sga,NA,100,0.298307561,0.945945946,0.281261415,0.999468357,RSR,0,,SRR1543971
179,sga_SRR1543964_raw_26.corrected.fastq.gz,run.sga.sh,26,381,39889,6349,2,78,1,1,46700,1876,11100740,11628,11,344,2,2,0,11114603,Sga,NA,100,0.138921801,0.844284428,0.113299763,0.998921509,RSR,1.80E-07,0,SRR1543964
184,sga_SRR1543965_raw_26.corrected.fastq.gz,run.sga.sh,26,787,39992,5873,2,46,0,0,46700,2124,11102737,9568,9,162,0,0,0,11114600,Sga,NA,100,0.181662675,0.929133858,0.167807048,0.999123765,RSR,0,,SRR1543965
189,sga_SRR1543966_raw_26.corrected.fastq.gz,run.sga.sh,26,450,41674,4528,0,45,3,3,46700,1387,11105912,7146,8,142,5,5,0,11114605,Sga,NA,100,0.162545412,0.904172099,0.145318176,0.999342667,RSR,4.50E-07,0,SRR1543966
194,sga_SRR1543967_raw_26.corrected.fastq.gz,run.sga.sh,26,637,41752,4262,2,46,1,0,46700,1698,11105993,6763,3,141,4,0,0,11114602,Sga,NA,100,0.200685498,0.921323928,0.183548044,0.999378205,RSR,0,,SRR1543967
199,sga_SRR1543968_raw_26.corrected.fastq.gz,run.sga.sh,26,476,41322,4850,2,50,0,0,46700,1659,11104599,8148,6,188,0,0,0,11114600,Sga,NA,100,0.169164882,0.898213319,0.149994902,0.999249456,RSR,0,,SRR1543968
204,sga_SRR1543969_raw_26.corrected.fastq.gz,run.sga.sh,26,632,40227,5769,1,70,1,0,46700,2497,11101014,10813,10,264,4,0,0,11114602,Sga,NA,100,0.187603306,0.903074141,0.167468069,0.999002124,RSR,0,,SRR1543969
209,sga_SRR1543970_raw_26.corrected.fastq.gz,run.sga.sh,26,400,52898,6102,3,66,3,0,59472,1503,14142431,10155,12,235,11,0,0,14154347,Sga,NA,100,0.128924344,0.859348199,0.107822954,0.999264325,RSR,0,,SRR1543970
214,sga_SRR1543971_raw_26.corrected.fastq.gz,run.sga.sh,26,1222,41792,3647,0,37,2,0,46700,2489,11106241,5724,6,139,4,0,0,11114603,Sga,NA,100,0.303056131,0.945668693,0.28564471,0.999471596,RSR,0,,SRR1543971
180,sga_SRR1543964_raw_28.corrected.fastq.gz,run.sga.sh,28,402,39889,6332,2,74,1,1,46700,1921,11100753,11582,12,331,2,2,0,11114603,Sga,NA,100,0.142264682,0.852262644,0.117603496,0.998926727,RSR,1.80E-07,0,SRR1543964
185,sga_SRR1543965_raw_28.corrected.fastq.gz,run.sga.sh,28,817,39992,5843,2,46,0,0,46700,2174,11102733,9518,9,166,0,0,0,11114600,Sga,NA,100,0.185939104,0.929059829,0.171741362,0.999127904,RSR,0,,SRR1543965
190,sga_SRR1543966_raw_28.corrected.fastq.gz,run.sga.sh,28,478,41674,4500,0,46,2,2,46700,1439,11105933,7096,6,123,3,3,0,11114603,Sga,NA,100,0.168599883,0.919488818,0.153837141,0.999349414,RSR,2.70E-07,0,SRR1543966
195,sga_SRR1543967_raw_28.corrected.fastq.gz,run.sga.sh,28,652,41752,4245,1,49,1,0,46700,1731,11105984,6731,2,150,4,0,0,11114602,Sga,NA,100,0.204561569,0.918302387,0.186362562,0.999380365,RSR,0,,SRR1543967
200,sga_SRR1543968_raw_28.corrected.fastq.gz,run.sga.sh,28,505,41322,4817,2,54,0,0,46700,1738,11104581,8071,4,206,0,0,0,11114600,Sga,NA,100,0.177184219,0.894032922,0.156183097,0.999254944,RSR,0,,SRR1543968
205,sga_SRR1543969_raw_28.corrected.fastq.gz,run.sga.sh,28,657,40227,5744,0,70,2,0,46700,2491,11101004,10817,12,274,5,0,0,11114603,Sga,NA,100,0.187180643,0.899277978,0.16621581,0.999000594,RSR,0,,SRR1543969
210,sga_SRR1543970_raw_28.corrected.fastq.gz,run.sga.sh,28,422,52898,6076,3,70,3,0,59472,1588,14142413,10069,13,253,11,0,0,14154347,Sga,NA,100,0.13622716,0.857451404,0.113579823,0.999269058,RSR,0,,SRR1543970
215,sga_SRR1543971_raw_28.corrected.fastq.gz,run.sga.sh,28,1251,41792,3617,0,38,2,0,46700,2521,11106234,5692,6,146,4,0,0,11114603,Sga,NA,100,0.306952393,0.943841258,0.288688664,0.999473845,RSR,0,,SRR1543971