,EC Filename,Wrapper Name,Kmer Size,Read - TP,Read - TN,Read - FN,Read - FN WRONG,Read - FP,Read - FP INDEL,Total Trimmed Reads,Total Reads,Base - TP,Base - TN,Base - FN,Base - FN WRONG,Base - FP,Base - FP INDEL,Base - FP TRIM,Base - TP TRIM,Total Bases,Tool,Coverage,Length,Base Sensitivity,Base Precision,Base Gain,Base Accuracy,Dataset,Trim Percent,Trim Effeciency,dist
0,bfc_2.08E-04_20.corrected.fastq,bfc,20,6503,78515,109876,2033,2974,3,5,199904,32226,40469517,348394,2256,3128,4,1,363,40855889,Bfc,NA,100,0.084667122,0.911420329,0.076438443,0.991340633,IGH,8.91E-06,363,2.08E-04
1,bfc_2.91E-03_20.corrected.fastq,bfc,20,5659,68570,120713,2024,2935,3,6,199904,32569,40440207,377409,2237,3083,4,1,390,40855900,Bfc,NA,100,0.079440848,0.913422706,0.071911176,0.99063201,IGH,9.57E-06,390,2.91E-03
2,bfc_max_20.corrected.fastq,bfc,20,5194,53803,136154,1964,2783,6,7,199904,36450,39903241,910679,2219,2937,7,2,390,40855925,Bfc,NA,100,0.038484726,0.925267807,0.035376385,0.977583356,IGH,9.59E-06,195,1
3,bless_2.08E-04_20.corrected.fastq,bless,20,24919,79905,91651,224,1660,374,8643,198733,99268,39771773,254976,619,3165,2544,489621,26183,40648149,Bless,NA,100,0.28022493,0.945616659,0.264108919,0.981514312,IGH,0.012689483,0.053476056,2.08E-04
4,bless_2.91E-03_20.corrected.fastq,bless,20,22014,69849,104491,234,1767,378,8833,198733,101324,39730930,281470,627,3292,2632,501039,26855,40648169,Bless,NA,100,0.264695894,0.944763539,0.249220207,0.980575222,IGH,0.012986907,0.053598622,2.91E-03
5,coral_2.08E-04_20.corrected.fastq,coral,20,1712,78965,107947,281,9086,1913,124,199904,101920,40455031,280315,615,17286,2349,95,392,40858003,Coral,NA,100,0.266642249,0.838468183,0.215273327,0.992641273,IGH,1.19E-05,4.126315789,2.08E-04
6,coral_2.91E-03_20.corrected.fastq,coral,20,1069,68978,117713,392,9815,1937,84,199904,102806,40424437,308718,661,18459,2416,63,423,40857983,Coral,NA,100,0.249817751,0.831219023,0.199091669,0.991915401,IGH,1.19E-05,6.714285714,2.91E-03
7,coral_max_20.corrected.fastq,coral,20,929,54126,129677,631,12720,1821,75,199904,77740,39875853,870245,1329,30137,2184,55,425,40857968,Coral,NA,100,0.082005517,0.706335578,0.047911096,0.977875566,IGH,1.17E-05,7.727272727,1
8,fiona_2.08E-04_9181.corrected.fastq,fiona,9181,37464,78241,73224,1711,6615,2649,461,199904,162952,40463978,217378,2436,8305,3621,451,415,40859536,Fiona,NA,100,0.428448979,0.931803886,0.397091999,0.994317279,IGH,2.12E-05,0.920177384,2.08E-04
9,fiona_2.91E-03_9181.corrected.fastq,fiona,9181,31806,68408,88502,1822,6714,2652,431,199904,161935,40434699,247513,2646,8277,3623,433,431,40859557,Fiona,NA,100,0.395495887,0.93154428,0.366432367,0.993575682,IGH,2.11E-05,0.995381062,2.91E-03
10,fiona_max_9181.corrected.fastq,fiona,9181,22274,53709,110558,2224,8468,2671,253,199904,130418,39892866,815433,3397,13070,3673,237,431,40859525,Fiona,NA,100,0.137884297,0.88622665,0.120182777,0.979544089,IGH,1.63E-05,1.818565401,1
11,lighter_2.08E-04_20.corrected.fastq,lighter,20,85732,78619,33421,504,1618,10,13,199904,298886,40468607,83435,558,4031,11,8,364,40855900,Lighter,NA,100,0.781767154,0.986656895,0.771194886,0.997845017,IGH,9.11E-06,45.5,2.08E-04
12,lighter_2.91E-03_20.corrected.fastq,lighter,20,73389,68816,55656,557,1476,10,14,199904,294683,40439760,116927,611,3519,11,8,391,40855910,Lighter,NA,100,0.715927699,0.988162823,0.707351619,0.997036484,IGH,9.77E-06,48.875,2.91E-03
13,lighter_max_20.corrected.fastq,lighter,20,32308,54136,102423,2286,8741,10,15,199904,209418,39893947,736312,3619,12222,11,9,391,40855929,Lighter,NA,100,0.221435293,0.944809633,0.208500312,0.981589448,IGH,9.79E-06,43.44444444,1
14,musket_2.08E-04_20.corrected.fastq,musket,20,6386,67582,99604,118,1288,24926,22400,199904,40182,37902223,320596,7315,871543,1853573,1267118,15151,42277701,Musket,NA,100,0.111375971,0.014530803,-7.442066867,0.897778411,IGH,0.030329677,0.011957055,2.08E-04
15,musket_2.91E-03_20.corrected.fastq,musket,20,5873,59498,108193,127,1287,24926,22396,199904,40619,37875511,347677,8201,870010,1853723,1266158,16113,42278012,Musket,NA,100,0.10460834,0.01469386,-6.909970744,0.897170522,IGH,0.030329501,0.0127259,2.91E-03
16,musket_max_20.corrected.fastq,musket,20,4863,46598,121739,380,1399,24925,22396,199904,49643,37376801,844615,21884,861824,1838068,1244994,33596,42271425,Musket,NA,100,0.055513062,0.018055053,-2.963629065,0.88608825,IGH,0.030247147,0.026984869,1
17,pollux_2.08E-04_20.corrected.fastq,pollux,20,84691,67148,18304,589,928,28187,22543,199847,268550,37896231,88900,10580,860854,1860804,1272010,15180,42273109,Pollux,NA,100,0.751293887,0.089809806,-6.862800392,0.903138935,IGH,0.030449381,0.011933868,2.08E-04
18,pollux_2.91E-03_20.corrected.fastq,pollux,20,76841,59152,33812,811,945,28286,22614,199847,270586,37869765,114108,11735,859428,1860710,1270628,16140,42273100,Pollux,NA,100,0.703379829,0.090475082,-6.367533676,0.902581516,IGH,0.030439405,0.01270238,2.91E-03
19,pollux_max_20.corrected.fastq,pollux,20,35068,45157,78305,2698,8554,30065,22828,199847,258213,37359160,629354,28292,861687,1849936,1248745,33751,42269138,Pollux,NA,100,0.290922263,0.086945205,-2.764196956,0.890660076,IGH,0.030341191,0.027027936,1
20,racer_2.08E-04_9181.corrected.fastq,racer,9181,72206,77967,43488,314,3622,2307,1628,199904,271503,40457647,110207,1091,9427,6703,4572,442,40861592,Racer,NA,100,0.711280815,0.943921595,0.669023604,0.996769548,IGH,0.000122707,0.096675416,2.08E-04
21,racer_2.91E-03_9181.corrected.fastq,racer,9181,62439,68088,62150,522,4407,2298,1619,199904,273250,40427868,137649,1230,9914,6652,4504,483,40861550,Racer,NA,100,0.665005269,0.942839595,0.624688792,0.99608554,IGH,0.000122046,0.107238011,2.91E-03
22,racer_max_9181.corrected.fastq,racer,9181,35284,53241,86407,1705,21044,2223,1433,199904,296218,39859978,648441,4472,41253,6391,3820,601,40861174,Racer,NA,100,0.313571352,0.861444417,0.263136222,0.982761451,IGH,0.000108196,0.157329843,1
23,reckoner_2.08E-04_20.corrected.fastq,reckoner,20,8984,78984,109948,873,661,454,310,199904,60022,40469679,321344,1508,2324,938,394,367,40856576,Reckoner,NA,100,0.157386867,0.948454586,0.148833404,0.992008363,IGH,1.86E-05,0.931472081,2.08E-04
24,reckoner_2.91E-03_20.corrected.fastq,reckoner,20,7908,68974,120995,878,696,453,314,199904,60291,40440261,350421,1501,2383,938,400,394,40856589,Reckoner,NA,100,0.146796295,0.947792869,0.138710337,0.991295249,IGH,1.94E-05,0.985,2.91E-03
25,reckoner_max_20.corrected.fastq,reckoner,20,7306,54129,135729,1426,887,427,306,199904,63670,39903319,883400,2265,2301,771,379,404,40856509,Reckoner,NA,100,0.067228399,0.953972012,0.063984711,0.978237867,IGH,1.92E-05,1.065963061,1
26,sga_2.08E-04_20.corrected.fastq,sga,20,2128,66462,102873,47,1436,25101,22097,198047,27288,37841480,329321,7507,870790,1888411,1232621,14557,42211975,Sga,NA,100,0.076520783,0.009792969,-7.660807775,0.897419079,IGH,0.029545597,0.011809794,2.08E-04
27,sga_2.91E-03_20.corrected.fastq,sga,20,1882,58380,111191,49,1447,25098,22081,198047,27768,37814777,356324,8383,869630,1888116,1231428,15495,42211921,Sga,NA,100,0.072295179,0.009968717,-7.107614842,0.896818726,IGH,0.029539594,0.012582952,2.91E-03
28,sga_max_20.corrected.fastq,sga,20,2029,45673,123623,217,1419,25081,22077,198042,39511,37316702,850062,21646,860327,1874058,1210780,32519,42205605,Sga,NA,100,0.044415692,0.014243865,-3.029401747,0.885783246,IGH,0.029458149,0.026857893,1