,EC Filename,Wrapper Name,Kmer Size,Read - TP,Read - TN,Read - FN,Read - FN WRONG,Read - FP,Read - FP INDEL,Total Trimmed Reads,Total Reads,Base - TP,Base - TN,Base - FN,Base - FN WRONG,Base - FP,Base - FP INDEL,Base - FP TRIM,Base - TP TRIM,Total Bases,Tool,Coverage,Length,Base Sensitivity,Base Precision,Base Gain,Base Accuracy,Dataset,Trim Percent,Trim Effeciency,hap
0,bfc_mix_1_err_rate_1_20.corrected.fastq,bfc,20,112,3207,151655,1059,1443,5,20,157481,10249,30582204,1659453,1155,1517,5,7,9847,32264437,Bfc,NA,100,0.006138221,0.870699176,0.005226681,0.948468203,IGH,0.000305414,1406.714286,1
1,bfc_mix_1_err_rate_1_22.corrected.fastq,bfc,22,107,3214,151687,1068,1401,4,21,157481,10433,30582243,1659182,1159,1480,4,7,9928,32264436,Bfc,NA,100,0.006248746,0.875472015,0.005359918,0.948477528,IGH,0.000307924,1418.285714,1
2,bfc_mix_1_err_rate_1_24.corrected.fastq,bfc,24,117,3214,151587,1039,1518,6,20,157481,10691,30582114,1658960,1130,1604,6,6,9926,32264437,Bfc,NA,100,0.006403135,0.869116332,0.005438861,0.948481439,IGH,0.000307831,1654.333333,1
3,bfc_mix_1_err_rate_1_26.corrected.fastq,bfc,26,111,3210,151552,1009,1594,5,21,157481,10882,30582036,1658729,1116,1682,5,7,9980,32264437,Bfc,NA,100,0.006517686,0.865780889,0.005507271,0.94848653,IGH,0.000309536,1425.714286,1
4,bfc_mix_1_err_rate_1_28.corrected.fastq,bfc,28,117,3213,151479,1049,1614,9,21,157481,11315,30582004,1658268,1140,1714,9,7,9980,32264437,Bfc,NA,100,0.006777141,0.867847829,0.005745147,0.948498962,IGH,0.000309536,1425.714286,1
5,bfc_mix_1_err_rate_1_30.corrected.fastq,bfc,30,136,3215,151502,993,1629,6,21,157481,11520,30581979,1658139,1066,1735,6,6,9984,32264435,Bfc,NA,100,0.006899612,0.868712767,0.005856885,0.94850472,IGH,0.000309629,1664,1
6,bfc_mix_2_err_rate_1_20.corrected.fastq,bfc,20,146,5013,230291,1550,2313,8,34,239321,14543,47240519,2254581,1701,2423,8,12,12414,49526201,Bfc,NA,100,0.006409081,0.856780959,0.005337743,0.954381898,IGH,0.000250897,1034.5,2
7,bfc_mix_2_err_rate_1_22.corrected.fastq,bfc,22,148,5026,230401,1564,2175,7,32,239321,14939,47240657,2254413,1709,2294,7,10,12171,49526200,Bfc,NA,100,0.006582936,0.866531323,0.005568991,0.954388018,IGH,0.000245951,1217.1,2
8,bfc_mix_2_err_rate_1_24.corrected.fastq,bfc,24,163,4967,230142,1614,2426,9,29,239321,15468,47240413,2253821,1772,2541,9,8,12168,49526200,Bfc,NA,100,0.006816232,0.858474858,0.005692532,0.954393716,IGH,0.00024585,1521,2
9,bfc_mix_2_err_rate_1_26.corrected.fastq,bfc,26,173,5018,230184,1524,2410,12,33,239321,16073,47240393,2253273,1666,2547,12,10,12226,49526200,Bfc,NA,100,0.007082657,0.862655646,0.00595502,0.954406649,IGH,0.000247061,1222.6,2
10,bfc_mix_2_err_rate_1_28.corrected.fastq,bfc,28,159,4964,230228,1560,2396,14,32,239321,16510,47240394,2252820,1682,2546,14,11,12224,49526201,Bfc,NA,100,0.007275275,0.865757735,0.006147189,0.954415437,IGH,0.000247041,1111.272727,2
11,bfc_mix_2_err_rate_1_30.corrected.fastq,bfc,30,179,5029,230213,1517,2373,10,31,239321,16969,47240440,2252393,1647,2503,10,10,12227,49526199,Bfc,NA,100,0.007477432,0.871009137,0.006370072,0.954425733,IGH,0.000247081,1222.7,2
12,bfc_mix_3_err_rate_1_20.corrected.fastq,bfc,20,194,7213,414461,2763,4273,15,44,428919,20422,85868960,4215482,3075,4452,15,12,27907,90140325,Bfc,NA,100,0.004821167,0.820523123,0.00376661,0.953135915,IGH,0.000309728,2325.583333,3
13,bfc_mix_3_err_rate_1_22.corrected.fastq,bfc,22,194,7239,414819,2789,3865,13,40,428919,21476,85869386,4214640,3100,4038,13,9,27662,90140324,Bfc,NA,100,0.005069738,0.841305285,0.004113438,0.953149758,IGH,0.000306977,3073.555556,3
14,bfc_mix_3_err_rate_1_24.corrected.fastq,bfc,24,220,7161,414221,2959,4343,15,42,428919,22128,85868908,4213837,3251,4514,15,11,27661,90140325,Bfc,NA,100,0.005223839,0.830100912,0.004154661,0.953151668,IGH,0.000306988,2514.636364,3
15,bfc_mix_3_err_rate_1_26.corrected.fastq,bfc,26,228,7216,414441,2796,4221,17,45,428919,22993,85869012,4213085,3077,4410,17,11,27720,90140325,Bfc,NA,100,0.005427898,0.838548505,0.004382828,0.953163045,IGH,0.000307643,2520,3
16,bfc_mix_3_err_rate_1_28.corrected.fastq,bfc,28,221,7164,414276,2829,4411,18,44,428919,24116,85868801,4211922,3127,4611,18,13,27717,90140325,Bfc,NA,100,0.005693056,0.838963298,0.004600289,0.953173134,IGH,0.000307631,2132.076923,3
17,bfc_mix_3_err_rate_1_30.corrected.fastq,bfc,30,253,7225,414039,2849,4533,20,42,428919,25002,85868651,4211055,3109,4756,20,10,27721,90140324,Bfc,NA,100,0.005902187,0.839613137,0.004774723,0.953181355,IGH,0.000307643,2772.1,3
18,bfc_mix_4_err_rate_1_20.corrected.fastq,bfc,20,230,10341,609608,3927,6013,24,46,630143,24803,126534640,6016502,4384,6217,25,10,33497,132620078,Bfc,NA,100,0.00410557,0.798937027,0.003072349,0.95454187,IGH,0.000252654,3349.7,4
19,bfc_mix_4_err_rate_1_22.corrected.fastq,bfc,22,212,10371,609992,3959,5587,22,47,630143,26197,126535072,6014990,4416,5793,23,11,33574,132620076,Bfc,NA,100,0.004336399,0.818323806,0.003373675,0.954556211,IGH,0.000253242,3052.181818,4
20,bfc_mix_4_err_rate_1_24.corrected.fastq,bfc,24,266,10290,609191,4125,6246,25,48,630143,27291,126534401,6013763,4555,6460,26,13,33572,132620081,Bfc,NA,100,0.004517589,0.807975842,0.003443935,0.954559351,IGH,0.000253242,2582.461538,4
21,bfc_mix_4_err_rate_1_26.corrected.fastq,bfc,26,274,10350,609283,4048,6164,24,52,630143,28564,126534450,6012543,4441,6409,26,14,33630,132620077,Bfc,NA,100,0.004728272,0.816137604,0.00366307,0.954569768,IGH,0.000253687,2402.142857,4
22,bfc_mix_4_err_rate_1_28.corrected.fastq,bfc,28,265,10294,609314,4083,6160,27,54,630143,29934,126534445,6011155,4472,6396,28,15,33635,132620080,Bfc,NA,100,0.004955067,0.823312613,0.003891682,0.954580078,IGH,0.000253732,2242.333333,4
23,bfc_mix_4_err_rate_1_30.corrected.fastq,bfc,30,282,10354,608812,4095,6575,25,54,630143,30768,126534011,6010329,4469,6820,27,13,33639,132620076,Bfc,NA,100,0.005093115,0.817971554,0.003959711,0.954583152,IGH,0.000253747,2587.615385,4
24,bfc_mix_5_err_rate_1_20.corrected.fastq,bfc,20,882,38457,656058,4261,6494,30,46,706182,27581,142842932,6191525,4751,6739,32,12,33494,149107066,Bfc,NA,100,0.004434882,0.802893572,0.00334614,0.958389278,IGH,0.000224711,2791.166667,5
25,bfc_mix_5_err_rate_1_22.corrected.fastq,bfc,22,896,38535,656084,4344,6298,25,50,706182,29169,142843152,6189772,4835,6521,27,13,33575,149107064,Bfc,NA,100,0.004690348,0.816669933,0.003637436,0.95840194,IGH,0.000225261,2582.692308,5
26,bfc_mix_5_err_rate_1_24.corrected.fastq,bfc,24,1045,38566,655640,4465,6436,30,49,706182,30418,142842975,6188430,4935,6694,32,14,33571,149107069,Bfc,NA,100,0.00489126,0.818920956,0.003809709,0.958409073,IGH,0.000225241,2397.928571,5
27,bfc_mix_5_err_rate_1_26.corrected.fastq,bfc,26,1105,38474,655414,4434,6725,30,54,706182,31968,142842668,6186860,4885,7005,33,16,33630,149107065,Bfc,NA,100,0.005140518,0.819566221,0.004008794,0.958417816,IGH,0.00022565,2101.875,5
28,bfc_mix_5_err_rate_1_28.corrected.fastq,bfc,28,1159,38478,655295,4421,6794,35,56,706182,33485,142842571,6185397,4842,7084,37,17,33635,149107068,Bfc,NA,100,0.005384408,0.824631828,0.004239347,0.958427354,IGH,0.00022569,1978.529412,5
29,bfc_mix_5_err_rate_1_30.corrected.fastq,bfc,30,1229,38564,655158,4477,6722,32,58,706182,34374,142842633,6184467,4880,7019,35,17,33639,149107064,Bfc,NA,100,0.005527397,0.829728686,0.004393102,0.958433785,IGH,0.000225717,1978.764706,5
30,bless_mix_1_err_rate_1_20.corrected.fastq,bless,20,480,3128,151096,782,1683,97,4708,157266,39918,30309905,1608538,1268,2752,1448,264311,31163,32259303,Bless,NA,100,0.024215387,0.904800762,0.021667548,0.941718107,IGH,0.009159342,0.117902774,1
31,bless_mix_1_err_rate_1_22.corrected.fastq,bless,22,485,3134,150986,800,1759,102,5027,157266,40290,30292328,1606684,1267,2910,1367,281828,32645,32259319,Bless,NA,100,0.024463046,0.904032131,0.021866162,0.941227072,IGH,0.009748284,0.115833061,1
32,bless_mix_1_err_rate_1_24.corrected.fastq,bless,24,494,3143,150824,818,1881,106,5243,157266,40258,30276689,1605517,1272,2997,1130,297633,33837,32259333,Bless,NA,100,0.024461424,0.907018137,0.021953791,0.940775186,IGH,0.010275166,0.11368699,1
33,bless_mix_1_err_rate_1_26.corrected.fastq,bless,26,508,3129,150705,843,1972,109,5545,157266,40611,30261890,1604712,1306,3065,1212,312330,34249,32259375,Bless,NA,100,0.024682691,0.90471841,0.022083202,0.940337704,IGH,0.010743513,0.109656453,1
34,bless_mix_1_err_rate_1_28.corrected.fastq,bless,28,515,3130,150583,859,2057,122,5892,157266,40955,30247636,1603484,1379,3314,1675,325866,35075,32259384,Bless,NA,100,0.02490515,0.891411283,0.021871289,0.939929883,IGH,0.011188713,0.107636268,1
35,bless_mix_1_err_rate_1_30.corrected.fastq,bless,30,524,3147,150392,915,2153,135,6249,157266,41200,30230640,1602996,1521,3566,1962,342298,35163,32259346,Bless,NA,100,0.02505784,0.881698339,0.02169571,0.939413732,IGH,0.011700826,0.102726279,1
36,bless_mix_2_err_rate_1_20.corrected.fastq,bless,20,821,5023,229478,1023,2536,201,7220,239082,62006,46811041,2177538,1733,4365,2528,419122,42205,49520538,Bless,NA,100,0.027686886,0.899955007,0.024609028,0.947344912,IGH,0.009315872,0.100698603,2
37,bless_mix_2_err_rate_1_22.corrected.fastq,bless,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bless,NA,100,,,,,IGH,,,2
38,bless_mix_2_err_rate_1_24.corrected.fastq,bless,24,884,4993,228401,1161,3421,222,8296,239082,64943,46756457,2170088,1974,5853,2821,472049,46497,49520682,Bless,NA,100,0.029056868,0.882173954,0.025175937,0.94638042,IGH,0.010471302,0.098500368,2
39,bless_mix_2_err_rate_1_26.corrected.fastq,bless,26,896,5006,228318,1163,3492,207,8445,239082,64742,46752039,2170386,1996,5795,2857,476455,46375,49520645,Bless,NA,100,0.028965679,0.882115704,0.02509476,0.946285433,IGH,0.010557819,0.097333431,2
40,bless_mix_2_err_rate_1_28.corrected.fastq,bless,28,938,4993,227719,1239,3982,211,9190,239082,66531,46715360,2167019,2139,6588,3072,512173,47805,49520687,Bless,NA,100,0.02978711,0.873213372,0.025462157,0.945606747,IGH,0.011307961,0.093337603,2
41,bless_mix_2_err_rate_1_30.corrected.fastq,bless,30,978,5030,227364,1298,4211,201,9744,239082,67623,46685982,2164605,2246,6831,2685,541702,49009,49520683,Bless,NA,100,0.030293948,0.876638276,0.026030943,0.945058075,IGH,0.011928571,0.090472252,2
42,bless_mix_3_err_rate_1_20.corrected.fastq,bless,20,1347,7289,413450,1989,4151,370,14365,428596,109919,85017424,4069431,3085,6774,5211,835494,84805,90132143,Bless,NA,100,0.026300501,0.901684932,0.02343283,0.945362127,IGH,0.010210553,0.101502823,3
43,bless_mix_3_err_rate_1_22.corrected.fastq,bless,22,1390,7304,413024,2061,4435,382,14843,428596,111110,84986508,4064496,3190,7416,5297,865705,88484,90132206,Bless,NA,100,0.026609311,0.897329252,0.023564723,0.945069974,IGH,0.010586549,0.102210337,3
44,bless_mix_3_err_rate_1_24.corrected.fastq,bless,24,1412,7304,412607,2102,4772,399,15132,428596,112044,84969250,4061564,3297,7827,5265,882600,90396,90132243,Bless,NA,100,0.026845837,0.895377829,0.023708983,0.94490836,IGH,0.010795205,0.102420122,3
45,bless_mix_3_err_rate_1_26.corrected.fastq,bless,26,1277,7304,413693,1910,4056,356,16378,428596,102654,84891631,4070208,2995,6409,4773,962123,91424,90132217,Bless,NA,100,0.024600382,0.901770969,0.021920687,0.943953092,IGH,0.011688906,0.095023194,3
46,bless_mix_3_err_rate_1_28.corrected.fastq,bless,28,1302,7292,413457,1961,4215,369,16810,428596,104209,84873514,4068138,3050,6671,4593,980149,91927,90132251,Bless,NA,100,0.024976111,0.902453387,0.022276431,0.943774069,IGH,0.011894477,0.093788801,3
47,bless_mix_3_err_rate_1_30.corrected.fastq,bless,30,1418,7321,412107,2164,5167,419,17144,428596,110224,84860062,4059657,3528,8464,5376,991064,93902,90132277,Bless,NA,100,0.026433368,0.888444674,0.023114329,0.943711901,IGH,0.012037486,0.094748674,3
48,bless_mix_4_err_rate_1_20.corrected.fastq,bless,20,1654,10462,610267,2350,4529,450,24488,629712,139184,125056155,5807868,3696,7425,7435,1458965,128994,132609722,Bless,NA,100,0.023403865,0.903534055,0.020905148,0.945007934,IGH,0.01197468,0.088414732,4
49,bless_mix_4_err_rate_1_22.corrected.fastq,bless,22,1676,10492,609900,2379,4793,472,25224,629712,139926,125006369,5805395,3780,7758,7111,1508809,130660,132609808,Bless,NA,100,0.023535483,0.903943926,0.021034524,0.944649002,IGH,0.012363105,0.086598105,4
50,bless_mix_4_err_rate_1_24.corrected.fastq,bless,24,1732,10486,609423,2461,5121,489,25000,629712,143573,125022341,5800220,3901,8324,7654,1491674,132121,132609808,Bless,NA,100,0.024155114,0.899856472,0.021466932,0.944807513,IGH,0.012244909,0.088572302,4
51,bless_mix_4_err_rate_1_26.corrected.fastq,bless,26,1545,10467,609895,2334,4569,512,26859,629322,127914,124826127,5807419,3727,7323,7229,1611073,137108,132527920,Bless,NA,100,0.021551276,0.897856331,0.019099518,0.943827137,IGH,0.013191039,0.08510353,4
52,bless_mix_4_err_rate_1_28.corrected.fastq,bless,28,1804,10467,608685,2603,5631,522,25439,629712,148186,125005499,5793820,4120,8936,7325,1508371,133701,132609958,Bless,NA,100,0.024938716,0.901117077,0.022202098,0.944725401,IGH,0.01238272,0.088639333,4
53,bless_mix_4_err_rate_1_30.corrected.fastq,bless,30,1863,10466,608060,2688,6071,564,25586,629712,150913,124996230,5792358,4304,9858,7943,1516145,132239,132609990,Bless,NA,100,0.025392246,0.894490084,0.022397094,0.944665365,IGH,0.012430315,0.087220549,4
54,bless_mix_5_err_rate_1_20.corrected.fastq,bless,20,6614,39647,652411,2291,4232,549,30257,705744,143362,141013867,5967171,3809,7281,9009,1807752,143659,149095910,Bless,NA,100,0.023461456,0.897965575,0.020795567,0.947667646,IGH,0.013088293,0.079468312,5
55,bless_mix_5_err_rate_1_22.corrected.fastq,bless,22,6845,39606,651718,2386,4600,589,30206,705744,147231,141009424,5962755,4033,7836,9116,1811610,143974,149095979,Bless,NA,100,0.024096782,0.896749359,0.021322307,0.947665357,IGH,0.013116276,0.079472955,5
56,bless_mix_5_err_rate_1_24.corrected.fastq,bless,24,8375,39575,648574,2782,5772,666,27716,705744,172652,141152824,5942294,4769,10036,10822,1664367,138383,149096147,Bless,NA,100,0.028234428,0.892212289,0.024823441,0.948762067,IGH,0.012091191,0.083144523,5
57,bless_mix_5_err_rate_1_26.corrected.fastq,bless,26,8199,39618,648913,2753,5662,599,28764,705744,169226,141088137,5944200,4485,9605,8865,1731489,140095,149096102,Bless,NA,100,0.027681042,0.901596198,0.024659822,0.948315988,IGH,0.01255287,0.08091013,5
58,bless_mix_5_err_rate_1_28.corrected.fastq,bless,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bless,NA,100,,,,,IGH,,,5
59,bless_mix_5_err_rate_1_30.corrected.fastq,bless,30,9787,39550,643958,3336,8388,725,27864,705744,191001,141198348,5925487,5448,14174,10064,1615691,136138,149096351,Bless,NA,100,0.031227234,0.887390296,0.027264502,0.949175261,IGH,0.011749644,0.084259923,5
60,coral_mix_1_err_rate_1_20.corrected.fastq,coral,20,224,2897,139046,854,13616,844,94,157481,53409,30555624,1614476,2835,27695,1236,82,10009,32265366,Coral,NA,100,0.032021992,0.648639786,0.014676072,0.948959672,IGH,0.00031275,122.0609756,1
61,coral_mix_1_err_rate_1_22.corrected.fastq,coral,22,239,2913,138431,1122,13851,925,71,157481,54854,30555101,1612740,3128,28284,1384,64,10009,32265564,Coral,NA,100,0.032894098,0.648990795,0.015103197,0.948982431,IGH,0.00031219,156.390625,1
62,coral_mix_1_err_rate_1_24.corrected.fastq,coral,24,358,2887,138421,1065,13653,1097,83,157481,54534,30554635,1613125,3056,28606,1626,75,10012,32265669,Coral,NA,100,0.03270093,0.643347569,0.014572524,0.948955062,IGH,0.000312623,133.4933333,1
63,coral_mix_1_err_rate_1_26.corrected.fastq,coral,26,263,2892,138131,1026,14144,1025,93,157481,55566,30553955,1612139,3016,29159,1648,80,10018,32265581,Coral,NA,100,0.033318842,0.643326039,0.014846151,0.948968741,IGH,0.000312965,125.225,1
64,coral_mix_1_err_rate_1_28.corrected.fastq,coral,28,198,2892,138145,935,14312,999,87,157481,55397,30553504,1612416,2906,29592,1525,74,10012,32265426,Coral,NA,100,0.033215354,0.640324109,0.014557987,0.948953903,IGH,0.000312595,135.2972973,1
65,coral_mix_1_err_rate_1_30.corrected.fastq,coral,30,308,2884,138007,1055,14364,863,90,157481,57274,30553861,1610363,3086,29324,1462,94,10007,32265471,Coral,NA,100,0.034344405,0.650397456,0.015883553,0.949021691,IGH,0.000313059,106.4574468,1
66,coral_mix_2_err_rate_1_20.corrected.fastq,coral,20,760,4673,212649,1202,18778,1259,101,239321,88955,47203970,2178023,4021,38516,1835,88,12257,49527665,Coral,NA,100,0.039239463,0.687941782,0.021439996,0.955115325,IGH,0.000249255,139.2840909,2
67,coral_mix_2_err_rate_1_22.corrected.fastq,coral,22,682,4651,211649,1281,19785,1273,106,239321,91421,47202527,2175749,3836,40025,1839,98,12253,49527748,Coral,NA,100,0.04032384,0.685906141,0.021858528,0.955134307,IGH,0.000249375,125.0306122,2
68,coral_mix_2_err_rate_1_24.corrected.fastq,coral,24,703,4625,209912,1286,21360,1435,92,239321,96959,47198916,2170062,4000,43600,2048,92,12250,49527927,Coral,NA,100,0.042769344,0.679903511,0.022633668,0.955169713,IGH,0.000249193,133.1521739,2
69,coral_mix_2_err_rate_1_26.corrected.fastq,coral,26,682,4561,209300,1561,21769,1448,99,239321,99112,47197990,2167401,4504,44505,2072,88,12255,49527927,Coral,NA,100,0.043728847,0.680298444,0.023178777,0.95519459,IGH,0.000249213,139.2613636,2
70,coral_mix_2_err_rate_1_28.corrected.fastq,coral,28,714,4546,208748,1600,22144,1569,113,239321,101498,47195801,2164841,4700,46666,2256,97,12261,49528120,Coral,NA,100,0.044785003,0.674763994,0.023198648,0.955194961,IGH,0.000249515,126.4020619,2
71,coral_mix_2_err_rate_1_30.corrected.fastq,coral,30,671,4525,208537,1457,22498,1633,98,239321,102526,47194648,2164159,4366,47806,2363,82,12261,49528211,Coral,NA,100,0.045231693,0.671443073,0.02309849,0.955190681,IGH,0.000249212,149.5243902,2
72,coral_mix_3_err_rate_1_20.corrected.fastq,coral,20,1096,6874,396903,2034,20348,1664,118,428919,122842,85832167,4111720,4608,40700,2102,92,27738,90141969,Coral,NA,100,0.029009376,0.741602473,0.018901601,0.953845004,IGH,0.000308735,301.5,3
73,coral_mix_3_err_rate_1_22.corrected.fastq,coral,22,1073,6831,395102,2141,22038,1734,114,428919,129757,85830318,4104615,4806,42534,2222,84,27740,90142076,Coral,NA,100,0.030643741,0.743537731,0.020074051,0.95390011,IGH,0.000308668,330.2380952,3
